Finish,Start,#,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,S3,Rating,top_10,top_5,top_3,race_track,Finish,Start,Pts,Laps,Led,Status,S1,S2,Rating,top_10,top_5,top_3,race_track
1,5,#2,Austin Cindric,Ford,45,201,21,running,Team Penske,0,6,0,122.4,1,1,1,1,1,13,52,200,28,running,5,5,116.3,1,1,1,2
24,2,#48,Alex Bowman,Chevrolet,13,197,0,running,Hendrick Motorsports,0,0,0,65.8,0,0,0,1,24,11,33,199,90,running,1,1,120.6,0,0,0,2
5,38,#10,Aric Almirola,Ford,32,201,0,running,Stewart-Haas Racing,0,0,0,80.3,1,1,0,1,5,7,44,200,14,running,7,3,110.3,1,1,0,2
25,36,#3,Austin Dillon,Chevrolet,17,197,1,running,Richard Childress Racing,6,0,0,43,0,0,0,1,25,14,17,199,0,running,6,0,78.7,0,0,0,2
27,37,#78,B.J. McLeod,Ford,0,196,0,running,Live Fast Motorsports,0,0,0,35.7,0,0,0,1,27,9,10,198,0,running,0,0,61,0,0,0,2
9,3,#6,Brad Keselowski,Ford,44,201,67,running,RFK Racing,2,4,0,121.3,1,0,0,1,9,5,0,200,0,running,0,0,72.3,1,0,0,2
3,9,#14,Chase Briscoe,Ford,34,201,0,running,Stewart-Haas Racing,0,0,0,75,1,1,1,1,3,2,52,200,18,running,2,2,122.7,1,1,1,2
10,11,#9,Chase Elliott,Chevrolet,28,201,0,running,Hendrick Motorsports,10,0,0,72.5,1,0,0,1,10,17,28,200,0,running,10,0,91.1,1,0,0,2
16,4,#17,Chris Buescher,Ford,25,200,0,running,RFK Racing,0,7,0,97.4,0,0,0,1,16,24,28,200,20,running,4,0,82.1,0,0,0,2
34,12,#20,Christopher Bell,Toyota,3,152,0,accident,Joe Gibbs Racing,0,0,0,71.3,0,0,0,1,34,10,13,151,16,accident,3,9,97.3,0,0,0,2
17,32,#51,Cody Ware,Ford,20,200,0,running,Rick Ware Racing,0,0,0,48.6,0,0,0,1,17,18,20,200,0,running,0,0,46.5,0,0,0,2
20,31,#41,Cole Custer,Ford,17,199,0,running,Stewart-Haas Racing,0,0,0,55.2,0,0,0,1,20,26,17,200,0,running,0,0,41.8,0,0,0,2
14,24,#7,Corey LaJoie,Chevrolet,23,201,0,running,Spire Motorsports,0,0,0,57.2,0,0,0,1,14,3,23,200,0,running,0,0,59,0,0,0,2
12,33,#16,Daniel Hemric,Chevrolet,0,201,0,running,Kaulig Racing,0,0,0,60.6,0,0,0,1,12,1,31,200,0,running,9,7,94.3,0,0,0,2
18,21,#99,Daniel Suarez,Chevrolet,19,199,0,running,Trackhouse Racing,0,0,0,59,0,0,0,1,18,6,29,200,1,running,8,4,97.6,0,0,0,2
2,16,#23,Darrell Wallace Jr.,Toyota,43,201,12,running,23XI Racing,0,3,0,104.7,1,1,1,1,2,16,35,200,0,running,0,0,82.9,1,1,1,2
8,34,#15,David Ragan,Ford,29,201,0,running,Rick Ware Racing,0,0,0,63.7,1,0,0,1,8,36,29,200,0,running,0,0,63.5,1,0,0,2
29,13,#43,Erik Jones,Chevrolet,11,191,3,accident,Petty GMS Motorsports,8,0,0,81,0,0,0,1,29,33,8,198,0,running,0,0,49.5,0,0,0,2
36,28,#44,Greg Biffle,Chevrolet,1,136,0,running,NY Racing Team,0,0,0,27.5,0,0,0,1,36,19,1,94,0,engine,0,0,41.9,0,0,0,2
22,40,#27,Jacques Villeneuve,Ford,15,198,0,running,Team Hezeberg,0,0,0,42.7,0,0,0,1,22,30,0,200,0,running,0,0,35.8,0,0,0,2
21,20,#22,Joey Logano,Ford,31,198,1,running,Team Penske,5,2,0,83.5,0,0,0,1,21,29,0,200,0,running,0,0,37.8,0,0,0,2
23,25,#31,Justin Haley,Chevrolet,14,198,0,running,Kaulig Racing,0,0,0,41.4,0,0,0,1,23,35,14,200,0,running,0,0,55,0,0,0,2
26,35,#50,Kaz Grala,Chevrolet,0,196,0,running,TMT Racing,0,0,0,35.8,0,0,0,1,26,8,11,198,12,running,0,0,67.5,0,0,0,2
30,22,#4,Kevin Harvick,Ford,10,191,0,DVP,Stewart-Haas Racing,0,8,0,72.8,0,0,0,1,30,28,0,198,0,running,0,0,30.2,0,0,0,2
19,17,#45,Kurt Busch,Toyota,22,199,0,running,23XI Racing,7,0,0,74.5,0,0,0,1,19,34,18,200,0,running,0,0,42.8,0,0,0,2
6,10,#18,Kyle Busch,Toyota,31,201,28,running,Joe Gibbs Racing,0,0,0,101.4,1,0,0,1,6,31,34,200,0,running,0,8,77,1,0,0,2
32,1,#5,Kyle Larson,Chevrolet,9,190,1,accident,Hendrick Motorsports,9,9,0,81.2,0,0,0,1,32,27,5,187,0,running,0,0,26,0,0,0,2
15,27,#77,Landon Cassill,Chevrolet,0,201,0,running,Spire Motorsports,0,0,0,51.7,0,0,0,1,15,4,23,200,0,running,0,10,89.8,0,0,0,2
13,14,#19,Martin Truex Jr.,Toyota,44,201,11,running,Joe Gibbs Racing,1,1,0,94,0,0,0,1,13,12,24,200,0,running,0,0,77.3,0,0,0,2
7,6,#34,Michael McDowell,Ford,30,201,0,running,Front Row Motorsports,0,0,0,93.6,1,0,0,1,7,32,30,200,1,running,0,0,64.7,1,0,0,2
31,39,#62,Noah Gragson,Chevrolet,0,190,0,accident,Beard Motorsports,0,0,0,52.8,0,0,0,1,31,23,6,193,0,electrical,0,0,52.3,0,0,0,2
28,18,#47,Ricky Stenhouse Jr.,Chevrolet,22,194,16,accident,JTG Daugherty Racing,4,5,0,93.9,0,0,0,1,28,25,9,198,0,running,0,0,42,0,0,0,2
4,7,#12,Ryan Blaney,Ford,33,201,36,running,Team Penske,0,0,0,107.5,1,1,0,1,4,15,33,200,0,running,0,0,86.2,1,1,0,2
33,29,#38,Todd Gilliland,Ford,13,190,0,accident,Front Row Motorsports,3,10,0,69.9,0,0,0,1,33,22,4,157,0,accident,0,0,42.7,0,0,0,2
11,26,#42,Ty Dillon,Chevrolet,26,201,0,running,Petty GMS Motorsports,0,0,0,77.7,0,0,0,1,11,21,31,200,0,running,0,6,83.3,0,0,0,2
35,15,#8,Tyler Reddick,Chevrolet,2,151,0,accident,Richard Childress Racing,0,0,0,54.4,0,0,0,1,35,20,2,111,0,accident,0,0,56.3,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
